| table_name                          | column_name             | data_type                   |
| indb_security_suspicious_activities | detected_patterns       | ARRAY                       |
| indb_security_suspicious_activities | risk_score              | integer                     |
| indb_security_suspicious_activities | timestamp               | timestamp with time zone    |
| indb_security_suspicious_activities | created_at              | timestamp with time zone    |
| indb_service_accounts               | id                      | uuid                        |
| indb_service_accounts               | user_id                 | uuid                        |
| indb_service_accounts               | name                    | text                        |
| indb_service_accounts               | client_email            | text                        |
| indb_service_accounts               | project_id              | text                        |
| indb_service_accounts               | is_active               | boolean                     |
| indb_service_accounts               | daily_quota_limit       | integer                     |
| indb_service_accounts               | per_minute_quota_limit  | integer                     |
| indb_service_accounts               | created_at              | timestamp without time zone |
| indb_service_accounts               | updated_at              | timestamp without time zone |
| indb_service_accounts               | service_account_json    | text                        |
| indb_service_accounts               | access_token            | text                        |
| indb_service_accounts               | token_expires_at        | timestamp with time zone    |
| indb_url_submissions                | id                      | uuid                        |
| indb_url_submissions                | job_id                  | uuid                        |
| indb_url_submissions                | url                     | text                        |
| indb_url_submissions                | status                  | USER-DEFINED                |
| indb_url_submissions                | service_account_id      | uuid                        |
| indb_url_submissions                | error_message           | text                        |
| indb_url_submissions                | submitted_at            | timestamp without time zone |
| indb_url_submissions                | created_at              | timestamp without time zone |
| indb_url_submissions                | updated_at              | timestamp without time zone |
| indb_user_profiles                  | id                      | uuid                        |
| indb_user_profiles                  | email                   | text                        |
| indb_user_profiles                  | full_name               | text                        |
| indb_user_profiles                  | created_at              | timestamp without time zone |
| indb_user_profiles                  | updated_at              | timestamp without time zone |
| indb_user_profiles                  | role                    | USER-DEFINED                |
